"difference","startDate","startSentiment","endSentiment","endDate","ticker","startCount","endCount","countRatio","countSlope","changeInSentimentSlope","normalizedCountSlope","normalizedSentimentSlope","normalizedDifference","normalizedCountRatio","priceOnStartDate","priceOnEndDate","priceOnEndDate3","priceOnEndDate7","priceOnEndDate15","priceOnEndDate30","decision"
"-16","2016-01-27","56","40","2016-01-28","aapl","107","48","0.4485981308411215","59","-16","0.6236363636363637","0.44594594594594594","0.44594594594594594","0.001560758470235597","93.419998","94.089996","96.43","96.599998","93.989998","96.690002","do nothing"
"-16","2016-01-06","14","-2","2016-01-07","ears","9","10","1.1111111111111112","-1","-16","0.5145454545454545","0.44594594594594594","0.44594594594594594","0.0038853963148544413","7.79","7.08","5.15","4.96","4.19","4.22","do nothing"
"-16","2016-01-21","15","-1","2016-01-22","kone","2","1","0.5","1","-16","0.5181818181818182","0.44594594594594594","0.44594594594594594","0.0017411183030077487","3.19","3.19","2.9","2.69","2.13","2.46","do nothing"
"-15","2016-01-06","2","-13","2016-01-08","amba","1","14","14","-6.5","-7.5","0.5045454545454545","0.47466216216216217","0.44932432432432434","0.04911016892834833","55.41","45","42.57","39.549999","37.080002","35.040001","do nothing"
"-15","2016-01-22","11","-4","2016-01-26","gild","7","3","0.42857142857142855","1","-3.75","0.5181818181818182","0.4873310810810811","0.44932432432432434","0.0014904884055191741","91.830002","92.209999","83","82.709999","87.800003","90.160004","do nothing"
"-15","2016-01-05","16","1","2016-01-06","fxcm","10","1","0.1","9","-15","0.5327272727272727","0.44932432432432434","0.44932432432432434","0.00033759087707173146","16.76","15.92","16.549999","14.15","11.84","10.53","do nothing"
"-15","2016-01-01","15","0","2016-01-04","ptx","7","1","0.14285714285714285","2","-5","0.52","0.4831081081081081","0.44932432432432434","0.0004879688155648761","2.9","2.9","2.76","2.54","2.01","2.04","do nothing"
"-15","2016-01-01","17","2","2016-01-05","luv","4","1","0.25","0.75","-3.75","0.5177272727272727","0.4873310810810811","0.44932432432432434","0.0008639136617977379","41.959999","42.459999","42.209999","42.68","39.299999","37.549999","do nothing"
"-15","2016-01-07","14","-1","2016-01-08","nflx","14","18","1.2857142857142858","-4","-15","0.509090909090909","0.44932432432432434","0.44932432432432434","0.004498047175382068","114.559998","111.389999","114.970001","104.040001","99.120003","83.32","do nothing"
"-15","2016-01-06","16","1","2016-01-07","mnkd","25","5","0.2","20","-15","0.5527272727272727","0.44932432432432434","0.44932432432432434","0.0006884727335557358","0.73","0.69","0.67","0.91","0.83","0.87","do nothing"
"-15","2016-01-20","8","-7","2016-01-21","aapl","52","4","0.07692307692307693","48","-15","0.6036363636363636","0.44932432432432434","0.44932432432432434","0.00025661814096003815","96.790001","96.300003","99.440002","94.089996","94.019997","96.879997","do nothing"
"-15","2016-01-13","12","-3","2016-01-15","xiv","10","2","0.2","4","-7.5","0.5236363636363637","0.47466216216216217","0.44932432432432434","0.0006884727335557358","19.790001","18.440001","18.42","19.540001","20.23","17.459999","do nothing"
"-15","2016-01-22","15","0","2016-01-30","rdus","10","1","0.1","1.125","-1.875","0.5184090909090909","0.4936655405405405","0.44932432432432434","0.00033759087707173146","35.740002","32.400002","30.51","29.34","26.33","29.299999","do nothing"
"-14","2016-01-22","0","-14","2016-01-27","vrx","1","4","4","-0.6","-2.8","0.5152727272727272","0.4905405405405405","0.4527027027027027","0.014021983279947898","88.599998","94.43","95.650002","94.190002","83.440002","80.650002","do nothing"
"-14","2016-01-11","11","-3","2016-01-12","aa","9","2","0.2222222222222222","7","-14","0.5290909090909091","0.4527027027027027","0.4527027027027027","0.00076644647944107","8","7.28","6.9","6.74","6.96","7.33","do nothing"
"-14","2016-01-08","16","2","2016-01-11","dax","19","3","0.15789473684210525","5.333333333333333","-4.666666666666667","0.526060606060606","0.4842342342342343","0.4527027027027027","0.0005407330045098392","22.940001","23.120001","23.07","22.58","22.959","21.882","do nothing"
"-14","2016-01-27","-5","-19","2016-01-28","dax","4","13","3.25","-9","-14","0.5","0.4527027027027027","0.4527027027027027","0.011390369356317867","23.084","22.75","22.85","22.608","21.719999","22.139999","do nothing"
"-14","2016-01-30","14","0","2016-01-31","gpro","23","20","0.8695652173913043","3","-14","0.5218181818181818","0.4527027027027027","0.4527027027027027","0.0030378555987095037","11.06","11.06","10.71","10.99","11.59","11.89","do nothing"
"-14","2016-01-01","10","-4","2016-01-06","gevo","6","3","0.5","0.6","-2.8","0.5174545454545455","0.4905405405405405","0.4527027027027027","0.0017411183030077487","0.65","0.6","0.48","0.4","0.39","0.41","do nothing"
"-14","2016-01-01","14","0","2016-01-06","celg","6","1","0.16666666666666666","1","-2.8","0.5181818181818182","0.4905405405405405","0.4527027027027027","0.0005715121147277343","117.620003","116.709999","103.029999","100.669998","105.459999","97.889999","do nothing"
"-14","2016-01-01","14","0","2016-01-05","rxii","4","2","0.5","0.5","-3.5","0.5172727272727272","0.48817567567567566","0.4527027027027027","0.0017411183030077487","0.381","0.38","0.37","0.319","0.285","0.296","do nothing"
"-14","2016-01-01","14","0","2016-01-04","tvix","15","1","0.06666666666666667","4.666666666666667","-4.666666666666667","0.5248484848484849","0.4842342342342343","0.4527027027027027","0.00022063025824372998","7.05","7.05","8.53","8.78","10.58","9.1","do nothing"
"-14","2016-01-01","15","1","2016-01-05","xoma","6","5","0.8333333333333334","0.25","-3.5","0.5168181818181818","0.48817567567567566","0.4527027027027027","0.002910724491287763","1.34","1.29","1.13","1.09","1.03","0.94","do nothing"
